feature,importance_harassment,importance_hate_speech,importance_insult,importance_normal,importance_sexually_explicit,importance_threat,importance_overall
setan,0.003804615455414367,0.007604149476234127,0.007431081170910179,0.010574769420026072,0.0008226563258971245,0.00016681055419341995,0.030404082402675288
video,0.0025179384388106887,0.0096442983639101,0.005457082797190362,0.0006527104978956648,0.00976741074758754,0.0021633214768065575,0.030202762322200916
agama,0.006223805533919251,0.004445336479764391,0.004921962293517647,0.009639443121045973,0.0038041645625278456,0.0008651527891541526,0.02989986477992926
chinese,0.0017497151563383349,0.007389673764342028,0.006885897356536362,0.012556299954101622,0.0006529567237377758,0.0006225127341760388,0.029857055689232158
barat,0.006086665661665135,0.0013924703237431187,0.006391061133490043,0.0029586666405802173,0.010519573027553958,0.002392983196721913,0.029741419983754385
buta,0.005198326503981933,0.009232803025381268,0.00035427244200228204,0.005021048932850834,0.004338624035697699,0.005425729002817018,0.029570803942731035
mkr,0.009478031507727013,0.010747119891016446,0.0024102406388066505,0.0027698595177613372,0.0006926506798541635,0.003218361093424465,0.029316263328590074
idiot,0.0017332575116720417,0.0016466009608392868,0.004803751048399378,0.009756029484092337,0.001381618072558612,0.009713754980762827,0.029035012058324483
warga,0.007605336545694638,0.00015696307047097626,0.0021395125333008493,0.005715060018586466,0.004717623049421673,0.008590449039359927,0.028924944256834527
bangsad,0.0012640584716202149,0.010192047316125222,0.0030003004733296134,0.012637879158892964,0.0002860601989355818,0.0015324669032463591,0.028912812522149955
beli,0.007031123462464406,0.001773873291744705,0.003126806743316564,0.0024252742446217814,0.006338331599850096,0.008018746142297391,0.028714155484294943
negro,0.0060124215401591635,0.014254210541621902,0.006946840516040908,6.457187141236661e-05,0.00018903119817623162,0.0011704891586575953,0.028637564826068163
kota,0.009485412195954786,0.0010199195141496426,0.0003014672243733475,0.004389767846789144,0.004530340857582788,0.00890753291697225,0.02863444055582196
bocah,0.009257217874950483,0.0015794123954966778,0.0038348534209309017,0.006959594460382326,0.004882799165623442,0.0017661567637641973,0.02828003408114803
m,0.00576264418631681,0.003850387925722927,0.0011572896736953228,0.0033083186324082913,0.012942068917364895,0.0011365715007782,0.028157280836286446
bego,0.002476622575935963,0.007972123199747069,0.004857611100521325,0.010980049550483855,0.0005234892085924304,0.001150427034743798,0.027960322670024438
komunis,0.0002024380729080724,0.012789189837772894,0.011227836325660658,0.0011941570976254203,0.0014943913777813996,0.0009247568903865436,0.027832769602134988
oktober,0.001895604646919088,0.009745088678016012,0.002184162322981022,0.002063945964784057,0.0046036030318536885,0.007157306651278652,0.02764971129583252
rohingya,0.003454654356458109,0.0018473626813346412,0.01009338371892822,0.011872359281084106,0.0001905657731925498,1.888188615997261e-05,0.0274772076971576
dm,0.006328921815408158,0.004642307791666262,0.0004687034893564199,0.0026733533001633454,0.01102716368567296,0.0021487157322083545,0.0272891658144755
sebar,0.005434135035462722,0.004587122771200253,0.0075047848244121805,0.0036263149473448005,0.00360152463295151,0.002491682667857448,0.027245564879228915
sby,0.0035251436640387854,0.012122006381851033,0.004659682495045296,0.002744275399974238,0.0013826301477801474,0.002575534970573125,0.027009273059262626
bicara,0.007282525788382413,0.0028720622100068126,0.0058982592678583565,0.007465044396030021,0.00031846018837139347,0.003162138638575275,0.026998490489224272
ganjar,0.0013159189789938056,0.012153692611936127,0.0005721996241333767,0.0010653211987702567,0.002302700887671838,0.00952938988035419,0.026939223181859595
bajing,0.0029016920177291966,0.005614661642172483,0.004719070942860043,0.01282736501654805,0.0006399511800165663,0.00023189159380276045,0.026934632393129102
fakta,0.009683525562024276,0.0027739646760979735,0.008520102181754943,0.0005649675279789451,0.0012929043928503142,0.00346841321665789,0.026303877557364342
